,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,,,,,,,
,,,,,,Table 1. Evaluating the LLMs on the task of MT with/without POS tag information ALG->MSA.,,,,,,,,,,,
,,,,,,,,,,,,Padic-ALG-,,,,,
,,,,Comet,,Camelbert-MSA,,BLEU,,Chrf++,,,,,,,
,,,,Without,With,Without,With,Without,With,Without,With,,,,,,
,,,GPT-4o-Latest,67.67,63.58,87.84,87.14,5.6,4.62,31.16,28.68,,,,,,
,,,GPT-4-1106-preview,65.25,64.39,84.76,88.13,3.3,3.88,28.16,28.33,,,Comet,MARBERT-v2,BLEU,Chrf++
,,,Claude-3-5-sonnet-20240620,68.12,64.48,89.49,89.22,6.61,6.77,33.59,31.99,,gemma2:9b-instruct-q4_0,0.4855,0.8143,0.27,8.53
,,,Claude-3-5-sonnet-20241022,67.56,65.07,89.28,88.41,7.32,7.02,34.11,33.41,,gemma2:9b-instruct-q5_0,0.4736,0.8412,0.19,7.73
,,,claude-3-sonnet-20240229,59.94,57.74,86.64,86.36,1.8,2.18,22.51,20.39,,gemma2:9b-instruct-q8_0,0.4785,0.8348,0.21,7.41
,,,claude-3-opus-20240229,66.55,64.57,87.7,88.16,5.25,5.34,29.69,30.1,,gemma2:9b-instruct-q16_0,0.4819,0.8129,0.27,7.73
,,,claude-3-haiku-20240307,62.12,58.17,86.65,86.53,1.78,1.53,20.63,18.17,,llama3.1:8b-instruct-q4_0,0.5446,0.797,0.33,13.31
,,,gemini 1.5 Pro,66.9,64.68,87.32,88.81,5.25,5.52,32.04,30.78,,llama3.1:8b-instruct-q5_0,0.5479,0.8161,0.34,15.78
,,,gemini-1.5-flash,66.47,63.07,87.95,88.46,3.58,2.74,26.85,26.16,,llama3.1:8b-instruct-q8_0,0.5446,0.8066,0.3,16.2
,,,gemini-1.5-flash-8b,66.16,62.68,87.54,88.25,1.73,1.2,22.98,22.67,,llama3.1:8b-instruct-q16_0,0.5487,0.8052,0.29,16.13
,,,llama3.1:8b-instruct-q5_0,55.13,54.79,81.01,81.61,0.22,0.34,13.86,15.78,,,,,,
,,,gemma2:9b-instruct-q5_0,45.58,47.36,79.27,84.12,0.13,0.19,4.71,7.73,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Table 6. Model size impact on MT with Diacritics information MSA->ALG.,,,
,,,,,,,,,,,,,,,,,
,,,,,,Table 7. Evaluating LLMs on the task of MT with/without Diacritics information ALG->MSA.,,,,,,,,Comet,MARBERT-v2,BLEU,Chrf++
,,,,,,,,,,,,,gemma2:2b-instruct-q5_0,0.4876,0.8754,0.09,7.55
,,,,Comet,,Camelbert-MSA,,BLEU,,Chrf++,,,gemma2:9b-instruct-q5_0,0.4736,0.8412,0.19,7.73
,,,,Without,With,Without,With,Without,With,Without,With,,gemma2:27b-instruct-q5_0,0.594,0.8769,1.16,20.34
,,,GPT-4o-mini-2024-07-18,73.14,48.68,75.84,49.65,5.44,1.08,32.35,9.77,DONE,,,,,
,,,GPT-4o-Latest,78.48,54.65,79.11,49.78,7.95,2.32,38.41,15.33,DONE,,,,,
,,,GPT-4-1106-preview,72.99,53.61,74.6,50.27,5.34,1.75,30.26,13.9,DONE,,,,,
,,,Claude-3-5-sonnet-20240620,78.57,56.23,79.68,53.24,8.3,3.59,39.28,17.83,DONE,,,,,
,,,Claude-3-5-sonnet-20241022,79.19,56.08,80.36,53.42,9.02,3.39,39.99,17.45,DONE,,,,,
,,,claude-3-sonnet-20240229,67.12,43.12,68.19,45.59,3.23,0.51,22.8,5,DONE,,,,,
,,,claude-3-opus-20240229,75.7,55.54,77.62,52.29,6.49,2.96,34.5,15.83,DONE,,,,,
,,,claude-3-haiku-20240307,67.59,40.68,67.78,44.35,3.48,0.45,22.82,4.19,DONE,,,,,
,,,gemini 1.5 Pro,76.6,54.72,75.63,50.67,6.84,1.54,34.52,13.6,DONE,,,,,
,,,gemini-1.5-flash,69.46,53.12,70.76,51.18,5.61,1.35,29.7,11.86,DONE,,,,,
,,,gemini-1.5-flash-8b,70.51,49.99,71.07,51.42,4.1,0.78,27.63,6.33,DONE,,,,,
,,,llama3.1:8b-instruct-q5_0,55.32,44.37,62.88,46.72,0.63,0.06,14.44,5.39,DONE,,,,,
,,,gemma2:9b-instruct-q5_0,64.36,47.94,68.18,50.22,1.83,0.51,20.08,8.18,DONE,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Table 7. Evaluating LLMs on the task of MT with/without POS + Diacritics information ALG->MSA.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Comet,,Camelbert-MSA,,BLEU,,Chrf++,,,,,,,
,,,,Without,With,Without,With,Without,With,Without,With,,,,,,
,,,GPT-4o-mini-2024-07-18,73.14,46.77,75.84,48.73,5.44,0.78,32.35,8.87,,,,,,
,,,GPT-4o-Latest,78.48,54.33,79.11,49.92,7.95,1.82,38.41,13.89,,,,,,
,,,GPT-4-1106-preview,72.99,53.78,74.6,51.81,5.34,1.92,30.26,13.68,,,,,,
,,,Claude-3-5-sonnet-20240620,78.57,56.15,79.68,52.88,8.3,3.31,39.28,17.58,,,,,,
,,,Claude-3-5-sonnet-20241022,79.19,55.94,80.36,53.66,9.02,3.57,39.99,18.12,,,,,,
,,,claude-3-sonnet-20240229,67.12,45.81,68.19,48,3.23,1.23,22.8,8.01,,,,,,
,,,claude-3-opus-20240229,75.7,55.5,77.62,52.75,6.49,2.8,34.5,16.03,,,,,,
,,,claude-3-haiku-20240307,67.59,48.64,67.78,49.44,3.48,0.75,22.82,7.81,,,,,,
,,,gemini 1.5 Pro,76.6,53.97,75.63,51.84,6.84,1.96,34.52,14.14,,,,,,
,,,gemini-1.5-flash,69.46,52.92,70.76,51.48,5.61,1.45,29.7,12.2,,,,,,
,,,gemini-1.5-flash-8b,70.51,49.83,71.07,50.79,4.1,1.02,27.63,9.69,,,,,,
,,,llama3.1:8b-instruct-q5_0,55.32,43.44,62.88,45.97,0.63,0.07,14.44,4.71,,,,,,
,,,gemma2:9b-instruct-q5_0,64.36,48.11,68.18,51.18,1.83,0.33,20.08,8.26,,,,,,
